name,rain_noah,rain_noah2,rain_noah3,2yrmax
agb,557,1255,1258,122.4659
bak,450,1381,454,231.65729
ban,735,107,1559,87.67909
bar,91,550,1159,142.8744
bat,191,1647,1474,78.09877
bay,1096,813,812,188.8015
blc,204,289,258,116.677
bol,1236,1237,538,130.1151
car,154,1204,1387,166.1551
cud,464,1104,470,154.6354
dad,733,732,729,161.7872
gaa,1219,1578,1499,90.77569
gam,782,1574,781,178.0139
hin,619,535,546,135.40373
hum,108,789,1492,87.6444
ime,550,91,1159,146.22591
imu,1188,1305,1283,196.37569
ina,289,203,204,114.8375
kan,1459,954,1177,124.1413
lab,1383,1379,478,192.7488
lay,535,546,619,131.145
lip,1236,1237,1235,131.3316
lpt,619,535,550,139.1899
lun,89,1238,1237,121.0911
mag,505,1109,499,108.6716
mam,1383,1379,1390,208.2407
man,1492,108,681,83.0854
mar,204,289,258,115.3178
mca,607,609,589,161.4225
nag,1069,849,96,204.2244
ninw,858,1554,1457,116.2003
nur,1561,1576,1577,173.918
osl,152,1573,1567,174.2768
pan,1535,1536,1616,136.3768
par,535,546,619,131.145
pep,204,258,203,112.2974
pin,1096,198,1160,183.345
pla,108,1492,789,85.6024
pob,550,91,619,152.279
pug,65,1390,69,193.3929
sag,467,449,1148,168.9694
sib,1450,728,730,171.3558
sin,454,450,1150,229.2061
sum,760,487,489,99.1532
tag,1380,1089,66,130
tal,1158,516,90,126.2228
tam,645,1302,466,184.5396
tue,469,1148,1425,192.0688
umi,204,258,203,113.427
